person_id,word_id,image_id,mouth_path
1,1,1,F0101mouth1.jpg
1,1,2,F0101mouth2.jpg
1,1,3,F0101mouth3.jpg
1,1,4,F0101mouth4.jpg
1,1,5,F0101mouth5.jpg
1,1,6,F0101mouth6.jpg
1,1,7,F0101mouth7.jpg
1,1,8,F0101mouth8.jpg
1,1,9,F0101mouth9.jpg
1,1,10,F0101mouth10.jpg
1,2,1,F0101mouth1.jpg
1,2,2,F0101mouth2.jpg
1,2,3,F0101mouth3.jpg
1,2,4,F0101mouth4.jpg
1,2,5,F0101mouth5.jpg
1,2,6,F0101mouth6.jpg
1,2,7,F0101mouth7.jpg
1,2,8,F0101mouth8.jpg
1,2,9,F0101mouth9.jpg
1,2,10,F0101mouth10.jpg
1,3,1,F0101mouth1.jpg
1,3,2,F0101mouth2.jpg
1,3,3,F0101mouth3.jpg
1,3,4,F0101mouth4.jpg
1,3,5,F0101mouth5.jpg
1,3,6,F0101mouth6.jpg
1,3,7,F0101mouth7.jpg
1,3,8,F0101mouth8.jpg
1,3,9,F0101mouth9.jpg
1,3,10,F0101mouth10.jpg
1,4,1,F0101mouth1.jpg
1,4,2,F0101mouth2.jpg
1,4,3,F0101mouth3.jpg
1,4,4,F0101mouth4.jpg
1,4,5,F0101mouth5.jpg
1,4,6,F0101mouth6.jpg
1,4,7,F0101mouth7.jpg
1,4,8,F0101mouth8.jpg
1,4,9,F0101mouth9.jpg
1,4,10,F0101mouth10.jpg
1,5,1,F0101mouth1.jpg
1,5,2,F0101mouth2.jpg
1,5,3,F0101mouth3.jpg
1,5,4,F0101mouth4.jpg
1,5,5,F0101mouth5.jpg
1,5,6,F0101mouth6.jpg
1,5,7,F0101mouth7.jpg
1,5,8,F0101mouth8.jpg
1,5,9,F0101mouth9.jpg
1,5,10,F0101mouth10.jpg
1,6,1,F0101mouth1.jpg
1,6,2,F0101mouth2.jpg
1,6,3,F0101mouth3.jpg
1,6,4,F0101mouth4.jpg
1,6,5,F0101mouth5.jpg
1,6,6,F0101mouth6.jpg
1,6,7,F0101mouth7.jpg
1,6,8,F0101mouth8.jpg
1,6,9,F0101mouth9.jpg
1,6,10,F0101mouth10.jpg
1,7,1,F0101mouth1.jpg
1,7,2,F0101mouth2.jpg
1,7,3,F0101mouth3.jpg
1,7,4,F0101mouth4.jpg
1,7,5,F0101mouth5.jpg
1,7,6,F0101mouth6.jpg
1,7,7,F0101mouth7.jpg
1,7,8,F0101mouth8.jpg
1,7,9,F0101mouth9.jpg
1,7,10,F0101mouth10.jpg
1,8,1,F0101mouth1.jpg
1,8,2,F0101mouth2.jpg
1,8,3,F0101mouth3.jpg
1,8,4,F0101mouth4.jpg
1,8,5,F0101mouth5.jpg
1,8,6,F0101mouth6.jpg
1,8,7,F0101mouth7.jpg
1,8,8,F0101mouth8.jpg
1,8,9,F0101mouth9.jpg
1,8,10,F0101mouth10.jpg
1,9,1,F0101mouth1.jpg
1,9,2,F0101mouth2.jpg
1,9,3,F0101mouth3.jpg
1,9,4,F0101mouth4.jpg
1,9,5,F0101mouth5.jpg
1,9,6,F0101mouth6.jpg
1,9,7,F0101mouth7.jpg
1,9,8,F0101mouth8.jpg
1,9,9,F0101mouth9.jpg
1,9,10,F0101mouth10.jpg
1,10,1,F0101mouth1.jpg
1,10,2,F0101mouth2.jpg
1,10,3,F0101mouth3.jpg
1,10,4,F0101mouth4.jpg
1,10,5,F0101mouth5.jpg
1,10,6,F0101mouth6.jpg
1,10,7,F0101mouth7.jpg
1,10,8,F0101mouth8.jpg
1,10,9,F0101mouth9.jpg
1,10,10,F0101mouth10.jpg
1,1,1,F0102mouth1.jpg
1,1,2,F0102mouth2.jpg
